,answer_id,anon_id,semester,text,sentence_len
0,1,xx,2006_fall,I met my friend Nife while I was studying in a middle school,13
1,1,xx,2006_fall, I was happy when I met him because he was a good student in our school,17
2,1,xx,2006_fall, We continued the middle and high school to gather in the same school,14
3,1,xx,2006_fall, We went to many places in the free time while we were studying in the high school,18
4,1,xx,2006_fall," When we finished from the high school, I went to K",12
5,1,xx,2006_fall,S University and he went to I,7
6,1,xx,2006_fall," While we were enjoying in academic life, we made many achievement in these universities",15
